thisN,thisTrialN,thisRepN,task,word,color,font,correctresponse,font_variable,key_resp_instrucctions.keys,key_resp_instrucctions.rt,key_resp_instrucctions.duration,key_resp.keys,key_resp.rt,key_resp.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,preliminaries.started,preliminaries.stopped,font_selection_test.started,text_title.started,text1_arial.started,text1_verdana.started,text1_tahoma.started,text1_ravie.started,text1_jokerman.started,text_dismiss.started,key_resp_2.started,font_selection_test.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions.started,text_instructions.started,key_resp_instrucctions.started,instructions.stopped,blocks.key_resp_instrucctions.keys,blocks.key_resp_instrucctions.rt,blocks.key_resp_instrucctions.duration,say_stuff.started,say_stuff.stopped,fixation_duration,stimulus.started,fix.started,fix.stopped,stimuli.started,key_resp.started,stimulus.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,blank.started,blank_screen.started,blank.stopped,blank_screen.stopped,increment_foocount.started,increment_foocount.stopped,the_end.started,text_2.started,the_end.stopped,participant,block order,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,0.00741089996881783,0.008089000009931624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,606977,color first,2025-10-07_16h00.29.691,Self_matt,,2025.1.1,59.83427103492366,2025-10-07 16h00.40.824972 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009287299995776266,0.14058569999178872,0.14058569999178872,0.14058569999178872,0.14058569999178872,0.14058569999178872,0.14058569999178872,0.14058569999178872,0.14058569999178872,1.9051069999695756,space,1.741520199982915,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,606977,color first,2025-10-07_16h00.29.691,Self_matt,,2025.1.1,59.83427103492366,2025-10-07 16h00.40.824972 +0100,
0,0,0,color,Ravie,black,RAVIE,Ravie,$font_main4,space,1.2721104000229388,None,j,1.1418941000010818,None,0,0,0,0,0,0,0,0,3.3548458999721333,,,,,,,,,,,,,,,,,1.9645034999703057,1.9893112999852747,1.9893112999852747,3.2769152999971993,space,1.2721104000229388,None,3.3043856999720447,3.3056612000218593,0.35203536391655266,3.3359712999663316,3.3548458999721333,3.754450000007637,3.754450000007637,3.754450000007637,4.909500500012655,j,1.1418941000010818,None,4.909768300014548,4.935729100019671,5.922665200021584,,,,,,,606977,color first,2025-10-07_16h00.29.691,Self_matt,,2025.1.1,59.83427103492366,2025-10-07 16h00.40.824972 +0100,
1,1,0,color,friend,blue,Verdana,bluefriend,$font_main2,space,1.2721104000229388,None,k,0.35309359995881096,None,0,0,0,0,0,1,1,2,5.96899530000519,,,,,,,,,,,,,,,,,,,,,,,,5.9235558999935165,5.925182099977974,0.6033405868057103,5.958933599991724,5.96899530000519,6.61709700000938,6.61709700000938,6.61709700000938,6.976129200018477,k,0.35309359995881096,None,6.976396400015801,7.0015490999794565,7.984801099984907,,,,,,,606977,color first,2025-10-07_16h00.29.691,Self_matt,,2025.1.1,59.83427103492366,2025-10-07 16h00.40.824972 +0100,
2,2,0,color,other,green,Tahoma ,greenother,$font_main3,space,1.2721104000229388,None,l,0.08890009997412562,None,0,0,0,0,0,2,2,3,8.081732199992985,,,,,,,,,,,,,,,,,,,,,,,,7.985666199994739,7.987256799999159,0.9763815727892711,8.065456099982839,8.081732199992985,9.114575200015679,9.114575200015679,9.114575200015679,9.218926100002136,l,0.08890009997412562,None,9.219137599982787,9.232975399994757,10.217911600018851,10.262400200008415,,,,,,606977,color first,2025-10-07_16h00.29.691,Self_matt,,2025.1.1,59.83427103492366,2025-10-07 16h00.40.824972 +0100,
3,3,0,color,self,red,Arial,redself,$font_main1,space,1.2721104000229388,None,j,0.28305600001476705,None,0,0,0,0,0,3,3,1,10.262400200008415,,,,,,,,,,,,,,,,,,,,,,,,10.218772499996703,10.220200099982321,0.6509557848055267,10.248150800005533,10.262400200008415,10.928002699976787,10.928002699976787,10.928002699976787,11.214015199977439,j,0.28305600001476705,None,11.21418910002103,11.228361600020435,12.2152039000066,12.30863089999184,,,,,,606977,color first,2025-10-07_16h00.29.691,Self_matt,,2025.1.1,59.83427103492366,2025-10-07 16h00.40.824972 +0100,
0,0,0,identity,other,green,Tahoma ,greenother,$font_main3,space,2.1660890000057407,None,j,0.38941379997413605,None,1,0,1,0,0,0,0,3,14.556107399985194,,,,,,,,,,,,,,,,,12.293282400001772,12.30863089999184,12.30863089999184,14.47982619999675,space,2.1660890000057407,None,14.506528900004923,14.508135900017805,0.665063084729455,14.540415600000415,14.556107399985194,15.256228499987628,15.256228499987628,15.256228499987628,15.661432900000364,j,0.38941379997413605,None,15.661642399965785,15.674590100010391,16.660002299991902,16.705193799978588,12.221902400022373,12.223612700006925,,,,606977,color first,2025-10-07_16h00.29.691,Self_matt,,2025.1.1,59.83427103492366,2025-10-07 16h00.40.824972 +0100,
1,1,0,identity,friend,blue,Verdana,bluefriend,$font_main2,space,2.1660890000057407,None,k,0.10157460003392771,None,1,0,1,0,0,1,1,2,16.705193799978588,,,,,,,,,,,,,,,,,,,,,,,,16.6609997000196,16.662429200019687,0.5625049769572747,16.69350290001603,16.705193799978588,17.28662929998245,17.28662929998245,17.28662929998245,17.405326600011904,k,0.10157460003392771,None,17.405465000018012,17.420355500013102,18.406206600018777,18.452506300003733,,,,,,606977,color first,2025-10-07_16h00.29.691,Self_matt,,2025.1.1,59.83427103492366,2025-10-07 16h00.40.824972 +0100,
2,2,0,identity,self,red,Arial,redself,$font_main1,space,2.1660890000057407,None,l,0.24001900001894683,None,1,0,1,0,0,2,2,1,18.452506300003733,,,,,,,,,,,,,,,,,,,,,,,,18.40709799999604,18.4082779000164,0.8950781865652147,18.43362869997509,18.452506300003733,19.384261499973945,19.384261499973945,19.384261499973945,19.63977760000853,l,0.24001900001894683,None,19.640053200011607,19.65262489998713,20.63715849997243,20.704267899971455,,,,,,606977,color first,2025-10-07_16h00.29.691,Self_matt,,2025.1.1,59.83427103492366,2025-10-07 16h00.40.824972 +0100,
3,3,0,identity,Jokerman,black,JOKERMAN,Jokerman,$font_main5,space,2.1660890000057407,None,l,0.6248788999509998,None,1,0,1,0,0,3,3,0,20.704267899971455,,,,,,,,,,,,,,,,,,,,,,,,20.63800859998446,20.639440900005866,0.3270714559421228,20.684343300003093,20.704267899971455,21.081927599967457,21.081927599967457,21.081927599967457,21.719662800023798,l,0.6248788999509998,None,21.719877799972892,21.73096529999748,22.71754380001221,22.74633479997283,,,,,,606977,color first,2025-10-07_16h00.29.691,Self_matt,,2025.1.1,59.83427103492366,2025-10-07 16h00.40.824972 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.72302779997699,22.724501400021836,22.724805500009097,22.74633479997283,23.732080399990082,606977,color first,2025-10-07_16h00.29.691,Self_matt,,2025.1.1,59.83427103492366,2025-10-07 16h00.40.824972 +0100,
